"ITL3.Region","change_1998_1999","change_1999_2000","change_2000_2001","change_2001_2002","change_2002_2003","change_2003_2004","change_2004_2005","change_2005_2006","change_2006_2007","change_2007_2008","change_2008_2009","change_2009_2010","change_2010_2011","change_2011_2012","change_2012_2013","change_2013_2014","change_2014_2015","change_2015_2016","change_2016_2017","change_2017_2018","change_2018_2019"
"Aberdeen City and Aberdeenshire",0.00848111025443331,0.00735617039964866,0.0159545989934683,0.00670201060318095,0.0117400019089434,0.0140182519522062,0.00563707945597709,0.0112283663993246,0.017602495543672,0.00589022757697456,0.0104198590254367,0.00173063848198282,0.00727186028491387,0.00115413468751803,0.00677521582340728,0.0103040454799249,-0.00706645370504816,0.00233273774071868,0.000267079750013354,0.00691182029267239,0.00657267041238206
"Angus and Dundee City",0.00703794369645043,0.0243389423076923,0.0186388025981361,0.0156164383561644,0.0241596638655462,0.016490278119616,0.0257439773264053,0.0217736448174189,0.0145051194539249,0.00821692686935086,0.00685207577589682,0.000824402308326463,0.0112925993143779,0.00952751312463543,-0.000563168762905951,0.00911078717201166,-0.00573613766730402,0.00172651933701657,0.0138419986495611,0.00842000990589401,0.0118059987236758
"Antrim and Newtownabbey",0.00712719298245614,0.00879461976202794,0.0082046332046332,0.0129091747349009,0.0124832813196612,0.00681721346399659,0.0147540983606557,0.012573673870334,0.00913408841797589,0.00866250866250866,0.0133473832103969,-0.0102115244347192,0.00992204110559887,0.00883152173913043,-0.00731139913592556,0.000657246138678935,0.00093167701863354,0.00390742410580102,0.00976450315910396,0.00687757909215956,0.0105348460291734
"Ards and North Down",0.00791139240506329,0.00971599402092676,0.00351617440225035,0.0174029451137885,0.0191693290734824,0.00842865743527995,0.018724400234055,0.0136686714051394,0.00306122448979592,0.0172668968919586,0.00780487804878049,-0.0153846153846154,0.0106544901065449,0.00869985500241663,-0.00792910447761194,0.0118035882908404,0.00679963735267452,0.00045004500450045,0.00544616673648932,0.00809388911371914,-0.000786163522012579
"Armagh City, Banbridge and Craigavon",0.00852985449071751,0.0104612458392772,0.00892857142857143,0.0158995815899582,0.0149313962873285,0.00797569312571212,0.0177279305354559,0.0139883998635278,0.00825658939345824,0.0123568414707655,0.0141056422569028,-0.0123839009287926,0.0139098881161173,0.00727590221187427,-0.00625533124822292,0.00188526797737678,0.000256147540983607,0.00721931789892955,0.00961313012895662,0.00408533817521562,0.00588235294117647
"Barking & Dagenham and Havering",0.00775324456430137,0.00705959612543096,0.00723821778993084,0.00915982312065698,0.0106629578117756,0.0142333088774762,0.00972104818258664,0.014775654059916,-0.00176589303733602,0.00238635007755638,0.0035778175313059,0.00818728412434438,0.000119431506031291,0.0203003989673785,-0.00165526373868903,0.00219665271966527,0.00610916374561843,0.00871950622122073,0.00378383622780635,-0.00581001258836061,0.00824455766558592
"Barnet",0.0124043828819516,0.0119644924739483,0.0137265813392692,0.0122104507092835,0.0140917683450765,0.0161080377481289,0.0133041164501487,0.015571193292409,-0.00154104791258055,0.00826005861977085,0.00924685071026534,-0.0038017459870459,0.0141227593699077,0.0154591903576575,0.00156777616980222,0.01247231612076,0.000763275542470832,0.00682448283216038,-0.0041599025974026,-0.00081045486779455,0.00313234142521535
"Barnsley, Doncaster and Rotherham",0.00282485875706215,0.0133503598792663,0.0247480403135498,0.0203709660126514,0.0145881876203019,0.0170785230416945,0.00641894946207395,0.0256140350877193,0.0174224741580527,0.00368107769423559,0.018032915977636,0.00244837998857423,-0.00281866583150642,0.015277038838641,-0.00421971626045835,0.00412078152753108,0.0251440189766181,0.00367007919644582,-0.00182344064386318,0.00400789615361608,0.00439444542098787
"Bath and North East Somerset, North Somerset and South Gloucestershire",0.00949212251688032,0.0129967274427302,0.0118228339509441,0.017824573039297,0.0142340358603334,0.0130005200208008,0.000922574693066496,0.0108978752570254,0.00625287961561245,0.0168377566349524,0.00711872586872587,0.0137298362270656,0.00334919795522651,0.00405528901073795,0.00355191256830601,0.00567338282078473,-0.00133504746835443,0.00758717961188658,0.000602242194014639,0.0106310481123075,0.0086613832229007
"Bedford",0.0159689253344842,0.014338385907415,0.0196618167518679,0.0105501130369254,0.0157819225251076,0.0194672131147541,0.0165070980521624,0.0148193887002161,0.00861556743909685,0.0173010380622837,0.0154910096818811,0.0048780487804878,0.00512820512820513,0.00955861681192016,-0.00486749594375338,0.00079428117553614,0.00811010076185795,-0.00513299113392441,0.0120018115942029,0.00946643717728055,0.0102941176470588
"Belfast",0.00536410923276983,0.0135960892147877,0.0130185979971388,0.0179616274323037,0.0266337534104196,0.00855614973262032,0.0204473565295978,0.00970770215489652,0.00190801365736092,0.0160115052732502,0.0143748817855116,-0.0148001508295626,0.0143266475644699,0.00804066543438078,-0.011761512711481,0.00936788653475749,0.0028879639853903,0.0226566334042205,0.0229680612481633,0.00220896841175171,0.00719424460431655
"Berkshire",0.00124157502660518,0.00816797986881729,0.00949748939317271,0.00745840504876649,0.00549954170485793,0.00436696238222956,0.00591360128295079,0.00464440302044169,0.00796500226278473,0.00824706594769169,0.00375392200806813,0.00875409465717836,0.00066386368665634,0.00134468848050202,0.00180781178387737,0.00147190899111865,0.00464448168542016,0.00240885718256358,0.00322959483264827,0.00542463707640612,0.0071053508918153
"Bexley and Greenwich",0.0105448154657293,0.00814971325083006,0.00754388510082693,0.0104122695933587,0.0150923056191888,0.0180868679149153,0.0121502209131075,0.0158803755650864,-0.00295598861396978,0.00418235048097031,0.00387675984492961,0.000758232235701906,0.0083264802631579,0.0125811283075387,0.00372612948299953,0.0043308791684712,0.0051161620397551,0.00514966205342774,0.00949464012251149,0.000685975609756098,0.00926964192270315
"Birmingham",0.0107368138504899,0.00403856175091193,0.01891943368675,0.0120598751590813,0.0248822742863787,0.0210884727332638,0.0217661691542289,0.00766170620303521,0.0111790559908274,0.0130216575484921,0.00733091949398775,0.007811080835604,0.00167032967032967,-0.00283602612581643,0.00792947825720191,-0.00048030739673391,0.013684570646596,0.0101735044948393,0.00914121602689829,0.017529244333368,0.0113386978785662
"Blackburn with Darwen",0.00390407138873397,0.0102315562735595,0.0159659393294305,0.00993723849372385,0.0241975308641975,0.0274223034734918,0.0143916266899259,0.0123931623931624,0.011508425811755,-0.00512416239653134,0.00267175572519084,0.0152165431135388,0.00482733011511326,0.0241528478731074,0.0211714890613973,0.0094054417198522,0.0171188630490956,-0.0027280994240679,0.002322206095791,0.00428326670474015,0.00281214848143982
"Blackpool",0.0052321778940484,0.0139771283354511,0.0266749379652605,0.0113027959547888,0.0313549832026876,0.0377260981912145,0.0207930367504836,0.0191499299392807,0.0126353790613718,-0.00263852242744063,0.00481822163819536,0.0255474452554745,-0.00730240549828179,0.00633981403212172,0.0117498950902224,-0.0056772100567721,0.0165549862041782,0.0273921200750469,0.0431372549019608,0.0249507550886408,0.0176565008025682
"Bournemouth, Christchurch and Poole",0.00358690778657899,0.00410009896790612,0.00754513608191862,0.00851177018220508,0.00599336903851058,0.00768386388583974,0.018786965093355,0.00970017636684303,0.00596421471172962,0.00720757825370675,0.00534971270061423,-0.0010126582278481,0.0045612295488349,0.000579374275782155,0.00343577018514984,0.00967136150234742,-0.00149371759950795,0.004149377593361,0.00622267070299361,0.00228202706956248,0.00807619047619048
"Bradford",0.0127928227280279,0.00283509214049457,0.0212898212898213,0.0114768951978254,0.0205588533371941,0.0214539491664389,0.0153585838865027,0.00631891958865072,0.00356803044719315,0.00809393524851801,0.0149783645844891,0.00604500167916713,0.00562789671154271,0.00410785759427006,0.00631143300569064,0.00565656565656566,0.0104344336309822,-0.00240199846272098,-0.00347222222222222,0.00693756194251734,0.0105337700274409
"Breckland and South Norfolk",0.0186619718309859,0.0116086235489221,0.0123992560446373,0.00503405389398875,0.0162556053811659,0.0170303352847259,0.0190770817220933,0.0174963035978314,0.00867976244860667,-0.000893854748603352,0.00480139676996945,0.00943810359964881,0.00742311770943796,0.0128231223285162,-0.000396118043176867,0.00938158146659008,0.00747084548104956,0.0135256988277728,0.00450919181408255,0.0117174422497489,0.0194837635303913
"Brent",0.00974745237040319,0.00984615384615385,0.0109097993376193,0.00982615268329554,0.0112583984020338,0.0135348918966426,0.011174144748152,0.0146699266503667,-0.00197869101978691,0.00553129548762737,0.00721917412647993,0.0039068369646882,0.00504831963075148,0.0115857063093244,0.00118717847249703,0.00100363818843307,0.00104311543810848,0.00823353293413174,0.0111967128916281,0.00347222222222222,0.000306591722023505
"Bridgend and Neath Port Talbot",0.00925122867880891,0.00623406064040805,0.0179396575156292,0.0211654755360088,0.0168999207816213,0.0201055541593365,0.0111407120368128,0.00625289485873089,0.00904003443822643,0.00879765395894428,0.00760847213654123,0.00664808063478447,0.00540540540540541,0.00446168768186227,0.00745840504876649,0.00381194409148666,-0.000347463516330785,0.0102441522963975,0.00948261520545666,0.00928891736066624,0.0140758873929009
"Brighton and Hove",0.00523127753303965,0.015922735578178,0.0186660029865605,0.0118604651162791,0.00936246098974588,0.0110356536502547,0.01468788249694,0.0192088246481552,0.00863930885529158,0.0177656303382303,0.0104935235284473,0.00578703703703704,0.00533894191878337,0.00764311339884573,0.00563502384048548,0.00935954004546062,0.0249841471147749,0.0055610479485912,0.00173973556019485,-0.00644431882419446,0.0139957264957265
"Bristol, City of",0.0106459502229895,0.0154696132596685,0.0141194927441496,0.0235579842137219,0.0169452181987001,0.0159045725646123,0.00218841183826594,0.0140916463909165,0.00777127506476063,0.0188476998660116,0.0086244070720138,0.0034453781512605,0.00322294738538393,0.00398692289291125,0.00959662947647656,0.0132265134910438,0.000715922107674685,0.00967585873246251,0.00298565587070812,0.00595055518066376,0.00889843510279227
"Bromley",0.00771315405461747,0.00941361051186507,0.00801373783629078,0.00924556213017752,0.0115586690017513,0.0134912800263244,0.0086559647466163,0.0148939371144877,-0.00154083204930663,0.00710360541482375,0.0073795786931437,-0.00401491253226269,0.00487329434697856,0.00544069640914037,-0.004,0.0022927015666794,0.001230012300123,0.01001221001221,0.00826072196446758,0.00640305549314761,0.00371628795922701
"Buckinghamshire CC",0.00228509249183896,0.0104869691620808,0.012039869732557,0.00933777989518818,0.0067908598696889,0.00559734126290012,0.00801655029738816,0.00546180810304068,0.0107791075533011,0.0112435858738304,0.00581226387678001,0.0135387837534595,-0.0025538124771981,0.00278551532033426,0.0033204580876872,0.00295547090503087,0.00380783143999492,-0.00306460691725561,0.00475435816164818,0.00755576876948909,0.0108932461873638
"Caithness and Sutherland and Ross and Cromarty",0.0184049079754601,0.00249584026622296,0.0303756994404476,0.00619674670797831,0.036036036036036,0.0170648464163823,0.0173187940987813,0.0121506682867558,0.00172811059907834,0.0101351351351351,0.00704989154013015,0.00723830734966592,0.00327332242225859,-0.012827090815803,0.0113188976377953,0.0135004821600771,0.000461467466543609,0.00986378581493659,0.0106679035250464,0.00659630606860158,0.000861697544161999
"Calderdale and Kirklees",0.0107943537226681,0.00277667592225307,0.0183212058212058,0.0100946372239748,0.0171505573931153,0.0182905786264811,0.0136518771331058,0.00590001035089535,0.00348432055749129,0.00682464454976303,0.0126279536975031,0.00331966412809998,0.00332984492436495,-0.00256762952773957,-0.000727008360596147,0.00791000175777817,0.0116231480723582,0.0020122281557155,-0.00967029620041118,0.00597754774748506,0.0087211330496058
"Cambridgeshire CC",0.0179622174047693,0.0119713472671965,0.0147774036662926,0.00524770968602686,0.0154284755995304,0.0169246811582578,0.0213029669223023,0.018856806128462,0.00909277363779312,0.000395256916996047,0.00490539593552908,0.00281006514241921,0.00103835817248962,0.011060507482108,0.000622453598913536,0.00664981314574632,0.00307122054540641,0.00563423176488503,0.00738928309273306,0.0108837209302326,0.00662251655629139
"Camden and City of London",0.00558223663693632,0.00334643251872774,0.00575216390928016,0.00486171132238548,0.0084367501741531,0.00375185823167135,0.00685226685054301,0.00299247117125703,0.00139023317201936,0.00103545266281334,0.00448486165210509,0.00286236297198538,0.00517351624716619,0.00423355828478015,0.00325773366646881,0.00700496131204853,0.00372371936696771,0.00513908804129624,0.00361099712761592,0.00258943226187928,0.00356206734323543
"Cardiff and Vale of Glamorgan",0.0129183793305931,0.0228880565959218,0.0184301246353752,0.0087819778541428,0.0223025919228451,0.0123387549074593,0.0169801182160129,-0.00152625152625153,0.0202546296296296,0.00306251125923257,0.0149580445093032,0.00672971989814478,0.010351966873706,-0.00215350159359118,0.00700553926360378,-0.00126073595461351,0.0131287687962751,0.00953366343950928,0.00747937928142038,0.00473186119873817,0.0158550396375991
"Causeway Coast and Glens",0.00813008130081301,0.0097020097020097,0.00507292327203551,0.0169704588309239,0.0155968806238752,0.00780379041248606,0.0172413793103448,0.0127291242362525,0.00520586843350686,0.013869625520111,0.0115580212667591,-0.013902205177373,0.01071761416589,0.00749889722099691,-0.00389273356401384,0.00599828620394173,-0.00167154199749269,0.00750625521267723,-0.00349378881987578,0.00150715900527506,0.0127867619405792
"Central Bedfordshire",0.00886001181334909,0.0107709750566893,0.010971367407011,0.00442593074720125,0.00767706785537395,0.0107193901858028,0.00981996726677578,0.00823686553873553,0.00717079530638853,0.0131133671742809,0.00797382948272337,0.00449967859438611,0.00144062564313645,-0.000992457324335054,-0.0131754821462669,0.00323974082073434,-0.00118623962040332,0.00390497884803124,0.00185070943861814,0.00899871446936152,0.0101234225488837
"Central Hampshire",-0.00377274744784731,0.00674059578169167,0.00288689555624291,0.00836120401337793,0.00585131894484413,0.0132523467697405,0.00757308911588588,0.00784214520617253,0.00842604712041885,0.00697437504897735,0.0153939948178631,0.00982302954704919,-0.000443491758444822,-0.00648795094823898,0.00206896551724138,0.00515982041144542,0.000320553917168868,-0.00133333333333333,0.00556108411871451,-0.000505760044956448,0.00800309084887957
"Central Valleys",0.0107843137254902,0.00864276568501921,0.0192307692307692,0.0274977085242896,0.019551466359977,0.0224534501642935,0.015625,0.00369731328567907,0.00836431226765799,0.0118289353958144,0.00377023730317144,0.00869565217391304,0.00245398773006135,0.00411119812059514,0.00822022557828331,0.00278655025078952,-0.00515280739161336,0.0149094781682641,0.00271508569489225,-0.00148392415498763,0.0096602801481243
"Cheshire East",0.00964039785768936,0.00861943024105186,0.0118143459915612,-0.000365141187925998,0.00904180366369187,0.010890609874153,0.00658833864060613,0.00331434489901605,0.00530018309723427,-0.000940822278671559,0.0066262779250284,0.00522901132952455,-0.000460447555023483,0.00105792118487173,0.00100645810618133,0.0107289107289107,0.00183823529411765,0.00352578228294403,0.00298022216201571,-0.00223652998983395,0.0051789694506359
"Cheshire West and Chester",0.0113014303372771,0.0116968698517298,0.0148717110638993,-0.00151263046437755,0.0118298891883798,0.0106846618866863,0.0075064828715709,0.00406610703043022,0.00714978187106156,-0.000342426663622874,0.0114064104026463,0.0056710775047259,-0.000106723585912487,-0.00307073274036425,0.00010498687664042,0.0088128038897893,0.00589542862665507,0.000773096250483185,0.00271345875542692,0.00287431408413901,0.00421443020903574
"Chorley and West Lancashire",0.00456447318372005,0.00771775082690187,0.0107104605498036,0.00899342787962643,0.0168339268371641,0.0191431175934366,0.010171461784365,0.00919540229885057,0.0103409726103969,-0.00293020777836974,0.0020671834625323,0.0133788037775446,0.00025062656641604,0.00416564567507964,0.00858778625954199,0.0116550116550117,0.00733333333333333,0,-0.00623491552695093,0.0019782393669634,0.00647495715101885
"City of Edinburgh",0.00671538613470275,0.0193250931920738,0.0147422397216372,0.0116768266506396,0.0173267326732673,0.0101158187948981,0.0197979524035528,0.0138932743921692,0.0104823073194377,0.0064312309601715,0.00380336058128974,0.00350447794403961,0.00291234948193783,0.0056469298245614,0.00465651650708942,0.0099601593625498,0.00110805993158934,0.0103228847513552,0.0164880461665293,0.00785830111014095,0.00377433452522845
"Clackmannanshire and Fife",0.00672645739910314,0.0177255526787493,0.0134408602150538,0.0117911285794497,0.016375934496262,0.0106149957877001,0.0232408005164622,0.0147195537651069,0.0118082230758287,0.00805240889859424,0.00446839269286371,0.00609508329947176,0.0103737199095624,0.0150512521084728,-0.000251477429900666,0.0277302711947227,0.00709054980820644,0.00302622730329523,0.0117047794516094,-0.00285110876451954,0.0142797581821972
"Conwy and Denbighshire",0.0125231910946197,0.0113327289211242,0.0234986945169713,0.0342237061769616,0.0206225680933852,0.0238444607483492,0.0187304890738814,0.00399068839374792,0.00762873490146217,0.0106117353308365,0.00648148148148148,0.012588766946417,0.0133457479826195,-0.0073833431777909,0.00844742207981357,0.00789545330792268,0.00577124868835257,0.0125383828045036,0.011015911872705,-0.0104384133611691,-0.000226860254083485
"Cornwall and Isles of Scilly",0.000535714285714286,0.0258576107567661,0.0181641258514434,-0.00462891529085018,0.0124197002141328,0.0172141918528252,0.0166454891994917,0.0237438541791582,0.00560161326462021,0.0117003827227993,-0.0173110811651291,0.00459468329504431,0.00392823017305446,-0.00522755227552276,0.0057648345094921,0.00115030674846626,0.00956537890044577,0.0114660114660115,0.00950261107781868,-0.000724287783679382,0.00294665012406948
"Coventry",0.00850734725444702,0.00454287336740488,0.0142883651883466,0.0115555555555556,0.0198927521190106,0.0182266009852217,0.0188560653676933,0.0058165548098434,0.0100339383207909,0.0123387549074593,0.00754872357946747,0.00628228395923496,0.00885423549623365,0.00215462610899873,-0.00510567561149371,0.00470075670717725,0.00881530853579875,0.00561742386912388,0.012280701754386,0.011386593204775,0.00817488748048131
"Croydon",0.0117235345581802,0.0087073007367716,0.0051004144086707,0.0106712032168265,0.0169797145003757,0.0207602749333707,0.0123241795043537,0.017435249526216,-0.00632141988815949,0.0057277628032345,0.00660893345487694,-0.003743961352657,0.00300372461852697,0.003332936555172,-0.0133000831255195,0.00903954802259887,0.00228571428571429,0.00897226753670473,0.0126478149100257,0.0163967007850542,0.00490936555891239
"Darlington",0.00889679715302491,0.00816326530612245,0.00654307524536532,0.00817577925396014,0.00956022944550669,0.0139200718455321,0.0130197396052079,0.0137672090112641,0.0125506072874494,0.00783505154639175,0.00510604870384918,0.00867768595041322,0.0115860966839792,-0.00462071621101271,-0.00666144200626959,0.0155581485803189,0.0166089965397924,-0.00532800532800533,-0.00381811870878167,0.00766817706517951,0.0127542226818339
"Derby",0.00375146541617819,0.0106335844040762,0.0152833793249841,0.0128309572301426,0.0134952766531714,0.0105967651979922,0.0105354058721934,0.00399297236863121,0.0153680651605963,0.00912354172898594,0.00470909919489594,0.0111501451046281,0.000298018179108926,0.0093890134529148,0.0147324530924253,0.00416051536706482,0.000272405339144647,0.0126548554682297,-0.00277337559429477,0.0158854166666667,0.00806952203600248
"Derry City and Strabane",0.0105680317040951,0.0144563167818982,0.0114803625377644,0.0245757753071972,0.0258426966292135,0.0110497237569061,0.0253411306042885,0.0205632543585159,0.0100292519849561,0.0202479338842975,0.0180722891566265,-0.0190514795297933,0.0171218915613534,0.010546875,-0.0151739452257587,0.00325732899022801,0.000713521227256511,0.0221987315010571,0.00643500643500643,0.0078003120124805,0.00958083832335329
"Devon CC",0.0105337789932138,0.00935300356764054,0.0104049493813273,0.00966576332429991,0.0141060503059143,0.0301889814221653,0.0132499627810034,0.0154241645244216,0.00310202980646031,0.00356859635210151,0.00192826841496336,0.0126507214864598,0.0078436333733949,-0.000370896952463374,0.00210919609497409,0.00214691888128119,0.0100485680790487,0.00364240184262681,0.00197064772079033,0.00678923633480351,0.00553129548762737
"Dudley",0.00764969664996043,0.00305188199389624,0.0135101325994496,0.00886015325670498,0.0176889501493223,0.0160018030200586,0.0165038002171553,0.00589225589225589,0.00812512695510867,0.00997262416894799,0.00602995526162225,0.00639834881320949,0.0138944025406908,-0.0030686612965094,0.00695619477345366,0.00328827183047132,0.00108166576527853,0.000178348492955235,0.0119418483904465,0.0109489051094891,0.00689434022767356
"Dumfries and Galloway",0.00706214689265537,0.0109389243391067,0.02,0.00903490759753593,0.011097899326199,0.0143396226415094,0.0243991260014567,0.00484932455836508,0.00843060959792477,0.0128164049983979,0.00030571690614491,0.000933997509339975,0.0131578947368421,-0.00481347773766546,0.0017579841781424,0.000837754817090198,0,0.0149373166177647,0.00443632567849687,-0.00101163378856854,0.0193260654112983
"Durham CC",0.0132718894009217,0.007703081232493,0.0100442628532516,0.0101989633840495,0.0106012658227848,0.0149740548554485,0.0167520420877752,0.0103420843277645,0.0113607990012484,0.0114544803722706,0.0131518227964928,0.00195043597980725,0.00337990085624155,0.00293288212069938,0.0104063971957498,-0.00766490337903487,0.00752122058665521,-0.00126528890763391,0.00857650873339609,0.00822836245428687,0.0133087235282689
"Ealing",0.0077893175074184,0.00832899531494014,0.00930696360312448,0.00803212851405622,0.00946617008069522,0.0105372514099139,0.0084904302777378,0.0115149833518313,-0.000523628747218222,0.00583850931677019,0.00570083033833189,0.000927766732935719,0.0117406840224604,0.00942587832047986,0.0011706860220089,0.00621531631520533,0.00516262261228704,0.00262952863264511,0.0014018691588785,-0.00229095074455899,0.00706747078778741
"East Ayrshire and North Ayrshire mainland",0.0075642965204236,0.012764405543399,0.0211565585331453,0.00954653937947494,0.0133511348464619,0.0169005102040816,0.0275650842266462,0.00600858369098712,0.0101631452259963,0.0124545926310327,0.000500751126690035,0.00407851134335967,-0.00124843945068664,0.00855955001222793,-0.00542197076850542,0.00207804202262757,0.00538962497192904,0.0179163901791639,0.00536020583190394,-0.000209775540172016,-0.00188323917137476
"East Cumbria",0.00223325062034739,0.0137614678899083,0.000229885057471264,0.0162528216704289,0.00995340957221516,0.00702165008777063,0.0126200791109437,0.0109389243391067,0.0124558155192728,-0.00585556278464541,0.0108645041129908,0.0052531041069723,-0.00218170484650148,0.0155318481330405,0.00560181680545042,0.00524628388225007,0.000419697817571349,0.00656044985941893,0.0050131926121372,0.00359435173299101,0.00937219155218898
"East Derbyshire",0.00348027842227378,0.00986193293885602,0.0160132523467697,0.0119458455003982,0.013582778062532,0.00971357409713574,0.0126491646778043,0.00583744948361024,0.0169638973466725,0.00964562801425875,0.00610500610500611,0.0228272251308901,0.00179856115107914,0.00797045101088647,-0.017170586039567,0.0108455882352941,0.0173592845870594,0.00327546675401245,-0.000158730158730159,0.00768757687576876,0.000885347498893316
"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",0.0104592996816735,0.0153981522217334,0.0241627808393387,0.00641025641025641,0.0143188854489164,0.0173048600883652,0.0280665280665281,0.00162337662337662,0.0126543209876543,0.0116314661769207,-0.00117681671079729,0.00272149984880556,0.0113840623127621,-0.0025706940874036,-0.00453257790368272,0.00579470198675497,0.00661725780836421,0.00494534096824571,0.0130162703379224,0.00948991696322657,0.0036322360953462
"East Kent",-0.00106571936056838,0.00617283950617284,0.0155258764607679,0.0167452446756625,0.0176470588235294,0.0165145588874402,0.00643659271432484,0.0201706749418154,0.0174098196392786,0.0177224284516824,0.00714285714285714,0.0110614262179336,0.000449387709246152,-0.01807097757457,0.00846925972396487,0.00347151317132939,0.0023598820058997,0.00820987071812777,0.00118667275216796,0.00492264416315049,0.0122605363984674
"East Lancashire",0.00428211586901763,0.00598802395209581,0.00851466414380322,0.00904872389791183,0.012920472265538,0.0158896090319883,0.00861378205128205,0.00894941634241245,0.00865475070555033,-0.00216880534971986,0.00179340028694405,0.0135874693338366,0.0046737371921625,0.0024171270718232,0.00690817186183656,-0.000986842105263158,0.0020369790034472,0.00939328611025562,-0.00681258153355559,0.000417130144605117,0.00608025942440211
"East Lothian and Midlothian",0.0082063305978898,0.0187393526405451,0.0139935414424112,0.0114702815432742,0.0152784622966979,0.00835654596100279,0.0208888888888889,0.0149126544524925,0.0116512655685014,0.00963020030816641,0.00487987987987988,0.00116279069767442,0.011671686746988,0.0139985642498205,0.0229924502402196,0.00410483107041364,0.00717488789237668,-0.000286532951289398,0.00913368391918074,0.0100742311770944,0.00937658388241257
